trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes
2026-03-20,SAKHTISUG,gainer_loser,gainer_loser,3.29,14.27,14.74,,{}
2026-03-20,PONNIERODE,gainer_loser,gainer_loser,3.29,266.25,275.0,,{}
2026-03-20,ZENITHEXPO,gainer_loser,gainer_loser,3.29,182.02,188.0,,{}
2026-03-20,TATATECH,gainer_loser,gainer_loser,3.28,522.5,539.65,,{}
2026-03-20,BAJAJHIND,gainer_loser,gainer_loser,3.26,15.65,16.16,,{}
2026-03-20,GEECEE,gainer_loser,gainer_loser,3.26,254.9,263.2,,{}
2026-03-20,KAJARIACER,gainer_loser,gainer_loser,3.26,921.35,951.35,,{}
2026-03-20,AKUMS,gainer_loser,gainer_loser,3.25,468.2,483.4,,{}
2026-03-20,MODISONLTD,gainer_loser,gainer_loser,3.25,122.0,125.96,,{}
2026-03-20,NORTHARC,gainer_loser,gainer_loser,3.24,226.9,234.25,,{}
2026-03-20,BANKINDIA,gainer_loser,gainer_loser,3.24,145.77,150.49,,{}
2026-03-20,UNIENTER,gainer_loser,gainer_loser,3.23,93.37,96.39,,{}
2026-03-20,OSWALPUMPS,gainer_loser,gainer_loser,3.23,304.65,314.5,,{}
2026-03-20,MANGLMCEM,gainer_loser,gainer_loser,3.23,807.7,833.8,,{}
2026-03-20,INCREDIBLE,gainer_loser,gainer_loser,3.23,31.91,32.94,,{}
2026-03-20,BLACKBUCK,gainer_loser,gainer_loser,3.23,596.55,615.8,,{}
2026-03-20,BIKAJI,gainer_loser,gainer_loser,3.21,610.1,629.7,,{}
2026-03-20,ORCHPHARMA,gainer_loser,gainer_loser,3.21,516.0,532.55,,{}
2026-03-20,UNIONBANK,gainer_loser,gainer_loser,3.18,172.16,177.63,,{}
2026-03-20,CINELINE,gainer_loser,gainer_loser,3.18,85.3,88.01,,{}
2026-03-20,EMAMIREAL,gainer_loser,gainer_loser,3.18,58.25,60.1,,{}
2026-03-20,RAJSREESUG,gainer_loser,gainer_loser,3.17,27.44,28.31,,{}
2026-03-20,TIMETECHNO,gainer_loser,gainer_loser,3.17,157.24,162.22,,{}
2026-03-20,GOLDTECH,gainer_loser,gainer_loser,3.16,38.58,39.8,,{}
2026-03-20,PRITI,gainer_loser,gainer_loser,3.15,36.77,37.93,,{}
2026-03-20,LUPIN,gainer_loser,gainer_loser,3.15,2251.5,2322.5,,{}
2026-03-20,TRUALT,gainer_loser,gainer_loser,3.14,396.8,409.25,,{}
2026-03-20,GICRE,gainer_loser,gainer_loser,3.13,360.85,372.15,,{}
2026-03-20,AKZOINDIA,gainer_loser,gainer_loser,3.12,2797.8,2885.1,,{}
2026-03-20,UGARSUGAR,gainer_loser,gainer_loser,3.12,37.19,38.35,,{}
2026-03-20,RPGLIFE,gainer_loser,gainer_loser,3.12,1822.9,1879.7,,{}
2026-03-20,ZFCVINDIA,gainer_loser,gainer_loser,3.1,13386.0,13801.0,,{}
2026-03-20,PTC,gainer_loser,gainer_loser,3.09,160.23,165.18,,{}
2026-03-20,FILATEX,gainer_loser,gainer_loser,3.07,39.47,40.68,,{}
2026-03-20,ARMANFIN,gainer_loser,gainer_loser,3.06,1466.7,1511.6,,{}
2026-03-20,WHIRLPOOL,gainer_loser,gainer_loser,3.04,811.7,836.35,,{}
2026-03-20,STARCEMENT,gainer_loser,gainer_loser,3.02,210.04,216.39,,{}
2026-03-20,KRBL,gainer_loser,gainer_loser,3.01,278.95,287.35,,{}
2026-03-20,PKTEA,gainer_loser,gainer_loser,3.0,820.35,845.0,,{}
2026-03-20,NKIND,gainer_loser,gainer_loser,3.0,63.0,64.89,,{}
2026-03-20,WABAG,gainer_loser,gainer_loser,3.0,1200.9,1236.9,,{}
2026-03-20,NLCINDIA,gainer_loser,gainer_loser,2.98,258.65,266.35,,{}
2026-03-20,MOTISONS,gainer_loser,gainer_loser,2.92,12.68,13.05,,{}
2026-03-20,MAXIND,gainer_loser,gainer_loser,2.89,141.08,145.16,,{}
2026-03-20,UNIMECH,gainer_loser,gainer_loser,2.88,773.6,795.85,,{}
2026-03-20,RAMAPHO,gainer_loser,gainer_loser,2.86,112.61,115.83,,{}
2026-03-20,GANDHAR,gainer_loser,gainer_loser,2.86,128.7,132.38,,{}
2026-03-20,IGCL,gainer_loser,gainer_loser,2.86,57.01,58.64,,{}
2026-03-20,AKSHARCHEM,gainer_loser,gainer_loser,2.82,178.98,184.03,,{}
2026-03-20,GABRIEL,gainer_loser,gainer_loser,2.82,839.3,862.95,,{}
2026-03-20,OSWALGREEN,gainer_loser,gainer_loser,2.81,24.22,24.9,,{}
